,restore_value
161,2901.0639727467014
162,2869.5047678747187
163,2883.7094927470557
164,2888.870801976271
165,2855.368129707085
166,2926.018384142475
167,2922.375540181966
168,2947.923936504998
169,2930.643017191148
170,2914.5748264380786
171,2925.1627622441624
172,2901.2168142613596
173,2911.2033263361363
174,2907.5712327888004
175,2915.485931134847
176,2909.899665901139
177,2935.862941251713
178,2874.7904293160923
179,2865.5841220455823
180,2876.745977996444
181,2874.221673870233
182,2714.132477817305
183,2716.713000117571
184,2868.7907862038696
185,2750.389425719097
186,2845.628912474186
187,2793.5563263886406
188,2710.3578192486666
189,2785.147093587759
190,2794.1470279984555
191,2763.967059188192
192,2608.6077616281127
193,2792.1398265423886
194,2728.724680382094
195,2719.4418017440426
196,2739.4990340725567
197,2729.2551509084747
198,2698.544673041872
199,2665.4242707570224
200,2785.7751576911296
201,2803.3954621546222
202,2871.012823383021
203,2800.491105622001
204,2816.222053098599
205,2690.284945683355
206,2757.879838724745
207,2741.0678917700043
208,2730.305123322851
209,2687.4789936245193
210,2595.0733576523644
211,2606.026145459386
212,2687.675562485085
213,2612.4229695781655
214,2654.9468963696154
215,2665.658792581503
216,2811.9970273359804
217,2776.8447356634115
218,2794.7219919824265
219,2834.2056108710776
220,2594.7691507525815
221,2686.4989928102987
222,2657.5850626459965
223,2725.558113743544
224,2674.725294504942
225,2667.9794697150323
226,2613.064670111976
227,2519.6587695093003
228,2456.0227460295578
229,2560.924053282612
230,2485.2678458435144
231,2415.4471785312176
232,2468.7904341347144
233,2386.2441252579565
234,2671.5211439053446
235,2538.823375375263
236,2431.2396295400436
237,2513.5287323828966
238,2517.5611521127976
239,2438.464971203105
240,2706.456680722588
241,2603.0475502425884
242,2593.7755718021685
243,2635.1743495644196
244,2660.408466147931
245,2661.350618731232
246,2496.727938330169
247,2551.784815322714
248,2606.9600537025717
249,2618.937233953783
250,2675.5423745114663
251,2625.9453473078443
252,2593.860722581695
253,2595.2511399210994
254,2647.080829240081
255,2590.9300818480906
256,2615.70062137246
257,2717.8437672482173
258,2724.244887842798
259,2664.027548641535
260,2708.0867933539425
261,2720.646730172693
262,2674.8765367975225
263,2692.7141404768627
264,2732.521002291655
265,2711.9773289466602
266,2750.100991752758
267,2751.175565750129
268,2731.6706276258346
269,2762.5945681258054
270,2735.349099784719
271,2758.644809543493
272,2745.0306440942322
273,2788.2146391817896
274,2796.0421561179605
275,2807.316537859029
276,2798.2768233395655
277,2772.5619239973394
278,2788.6056674973984
279,2753.4279527399053
280,2780.5438533714178
281,2737.3609411581224
282,2715.851158935502
283,2744.8816571224643
284,2835.503642770393
285,2778.9554496548044
286,2796.4927289424895
287,2798.4333417999937
288,2832.529224463458
289,2847.517817456904
290,2813.7625202886693
291,2811.7854444470304
292,2894.2938234031994
293,2764.7728776546264
294,2825.431620351847
295,2871.822990171329
296,2755.1526324295137
297,2785.5854687401575
298,2832.583005889619
299,2876.303152788934
