,data_pre_value
106,-14.482940348800163
107,-38.876895062362806
108,8.167309566794305
109,-13.011316376620764
110,15.64984669530525
111,14.41377566137098
112,3.456193355482988
113,-14.770016646653918
114,32.50512608283939
115,34.61936647949015
116,11.259849707217594
117,5.902248738566275
118,-21.37459096144443
119,53.19303276595163
120,20.51488492695725
121,0.7589013412834547
122,3.9679642736995557
123,-9.990265072973436
124,-28.226884644552996
125,1.4093626306250542
126,-7.355196405866206
127,-24.730008923688985
128,-19.30765384624262
129,-42.647056771929
130,-14.76053893150476
131,-16.1651430778459
132,8.870633137812973
133,-0.04190029774370563
134,-1.9084772330592275
135,-3.34927859967038
136,5.651954057928766
137,5.737690279921694
138,-10.434370014938164
139,-22.201596650604685
140,-44.51289429181928
141,-7.668830124769691
142,48.4879924847937
143,3.088973400898503
144,12.544664991096738
145,4.173646561005814
146,-17.35841298533245
147,-20.873795816587336
148,-19.55392666375755
149,-18.168281426377774
150,16.047590870337878
151,21.640354956988187
152,6.868644299562034
153,23.830409730984304
154,-26.351416426293376
155,3.5670989700188773
156,-8.880204384241747
157,-27.84696293188741
158,-18.901417798764946
159,-9.258276883373108
160,6.526777796970099
161,13.173972746701505
162,-19.415232125281427
163,-20.470507252943968
164,-16.10919802372882
165,-33.43187029291533
166,21.708384142475253
167,14.425540181965841
168,17.17393650499816
169,0.9730171911476795
170,-4.795173561921105
171,9.602762244162388
172,-4.753185738640134
173,-2.7966736638635314
174,-6.408767211199616
175,-9.104068865153337
176,-13.530334098860925
177,10.352941251712897
178,-26.819570683907912
179,-19.985877954417802
180,-7.684022003555928
181,-6.1183261297668805
182,-71.547522182695
183,-11.656999882428991
184,101.66078620386966
185,-0.4005742809032844
186,35.708912474185915
187,-15.653673611359245
188,-58.42218075133347
189,17.36709358775894
190,38.26702799845529
191,23.27705918819189
192,-47.4922383718874
193,86.56982654238857
194,70.03468038209404
195,78.1918017440424
196,56.86903407255637
197,17.515150908474915
198,-41.825326958127675
199,-57.635729242977405
200,47.46515769112986
201,47.945462154622355
202,57.122823383021284
203,-6.3388943779986775
204,35.212053098599156
205,-35.93505431664464
206,35.69983872474476
207,39.487891770004154
208,0.10512332285153292
209,-48.79100637548082
210,-95.65664234763554
211,-35.86385454061367
212,37.74556248508475
213,-20.137030421834314
214,-18.503103630384402
215,-16.511207418497115
216,68.20702733598026
217,39.084735663411074
218,34.55199198242643
219,43.83561087107773
220,-105.29084924741827
221,-9.451007189701347
222,24.505062645996638
223,87.8381137435441
224,37.945294504941856
225,16.909469715032106
226,-37.475329888023936
227,-80.29123049069932
228,-89.91725397044213
229,14.76405328261195
230,-21.6921541564856
231,-51.97282146878263
232,52.1704341347143
233,35.144125257956375
234,203.8211439053449
235,49.993375375263184
236,-54.50037045995622
237,6.678732382896632
238,7.531152112797258
239,-9.425028796895006
240,174.5166807225878
241,53.357550242588346
242,19.365571802168766
243,50.21434956441933
244,63.768466147930894
245,65.0906187312316
246,-85.88206166983112
247,-58.51518467728579
248,-9.139946297428382
249,-17.022766046217015
250,4.832374511466167
251,-6.954652692155975
252,-44.83927741830464
253,-47.07886007890062
254,-17.679170759918925
255,-52.91991815190944
256,-24.299378627540175
257,36.79376724821702
258,20.144887842798184
259,-42.502451358465194
260,-16.78320664605748
261,-17.05326982730696
262,-56.733463202477765
263,-13.335859523137636
264,24.64100229165473
265,2.1773289466599657
266,5.370991752757963
267,-1.8544342498713897
268,-14.05937237416533
269,-13.005431874194667
270,-44.41090021528114
271,-26.055190456506978
272,-29.84935590576776
273,-4.455360818210387
274,-0.06784388203960612
275,13.416537859028761
276,5.896823339565363
277,-11.928076002660271
278,-15.084332502601754
279,-39.382047260094694
280,-9.106146628582515
281,-34.08905884187725
282,-33.07884106449788
283,1.8116571224642009
284,52.20364277039279
285,-12.56455034519572
286,-14.42727105751073
287,-10.04665820000612
288,10.049224463457968
289,14.577817456904288
290,-18.80747971133098
291,-12.444555552969684
292,39.413823403199466
293,-35.93712234537345
294,27.07162035184675
295,53.36299017132886
296,-50.21736757048619
297,-29.854531259842755
298,-1.8169941103811027
299,9.11315278893377
