,restore_value
97,3093.7745607452675
98,3175.1266981327035
99,3048.585416792536
100,3122.237140893127
101,3234.5759863280514
102,3069.7491187125847
103,2929.216444762601
104,3085.7846303009733
105,2941.0732361146866
106,3024.335902785272
107,3060.6568504977886
108,3045.189165275108
109,2910.088038429192
110,2707.000877199136
111,2895.2353360778693
112,2837.7585540556956
113,2774.5684961947395
114,2987.491970653326
115,2854.9352322614
116,2618.4185575498036
117,2889.7342612297775
118,2703.8826898470465
119,2654.659351652906
120,2827.945808998874
121,2714.87724325249
122,2618.5835971752713
123,2858.1675414070055
124,3003.7744861203214
125,2629.3527434463335
126,2954.8699618591368
127,2938.337431040179
128,2558.6476534639214
129,2729.8821568414974
130,2889.6409770643604
131,2698.0729014710296
132,2777.1774327364396
133,3123.826763608324
134,2913.966939702261
135,2962.399504788867
136,2971.5152044209494
137,2763.3492962995124
138,2750.1372190571683
139,2831.0671943207894
140,2758.4628548663854
141,2766.828640698181
142,2755.6135119467676
143,2681.1353550086874
144,2756.16157704799
145,2834.780102251914
146,2848.348299906034
147,2904.29411085093
148,2814.371629444288
149,2655.3734311286253
150,2581.954645763612
151,2636.382347163429
152,2499.9589190549996
153,2758.943281394985
154,2822.633524563023
155,2770.274153259856
156,2822.4831221195873
157,2760.0742541025234
158,2796.3230991705595
159,2683.482376266978
160,2735.6362676629406
161,2752.0731509850116
162,2643.574625808137
163,2705.3016487143145
164,2715.870581506142
165,2754.9594874095483
166,2663.078564963858
167,2780.9860455383578
168,2689.091279455525
169,2525.730365479639
170,2670.2665479492402
171,2754.939331823735
172,2628.49701978133
173,2672.2929666361256
174,2755.5110074243926
175,2745.516077911373
176,2721.512781087154
177,2790.3082356091422
178,2946.9564068558952
179,2735.23569051094
180,2733.06041835043
181,2897.3240316568813
182,2600.520924237546
183,2541.110703723381
184,2892.079377655074
185,2456.064538774394
186,2428.8093601462374
187,2770.900040288383
188,2542.637648422089
189,2365.010241671051
190,2710.715719801866
191,2543.2254968205475
192,2566.6858702695476
193,2835.986573729222
194,2359.4320299441
195,2670.822353629279
196,2661.851413435772
197,2123.175493588132
198,2613.7296163380997
199,2799.363378160539
200,2474.4649697650702
201,2863.08749222823
202,2891.4280800302176
203,2567.4489293735733
204,2538.53635413576
205,2645.5743646980545
206,2466.62088713755
207,2506.29645691554
208,2870.351172703515
209,2646.346806450356
210,2699.909665311278
211,2852.6285639112793
212,2671.308487597856
213,2526.7044318553326
214,2639.9242722188274
215,2646.510888977961
216,2428.1510693643086
217,2528.3778830002934
218,2653.154378584449
219,2652.212283968475
220,2522.9174007694564
221,2689.385782914995
222,2779.9654538941472
223,2619.520090788398
224,2623.387483387951
225,2573.851765761125
226,2567.9328527586163
227,2437.4750553715116
228,2522.8814953607666
229,2700.1599505070926
230,2694.1725736619005
231,2686.7733941002957
232,2584.106598029236
233,2598.8843290457494
234,2417.9425713642268
235,2417.288247970052
236,2530.9619183190352
237,2546.611644762325
238,2482.117176449329
239,2549.559565840495
240,2489.680680252539
241,2451.4008972586143
242,2456.6336070333573
243,2387.5430109841463
244,2573.8387464025336
245,2583.4976695307046
246,2509.4400330247895
247,2576.139197245626
248,2605.741180573878
249,2433.543668263437
250,2487.949912818821
251,2618.4696381627414
252,2579.4281617195934
253,2566.217055068641
254,2666.5590706305647
255,2668.3747744471757
256,2558.388562502691
257,2500.1381904155955
258,2691.687505314358
259,2570.132797378666
260,2520.1919169684943
261,2702.3481696619383
262,2589.6639618109834
263,2523.454108436753
264,2681.516010009558
265,2699.4267014896154
266,2700.8530222921354
267,2812.1449692560286
