,data_pre_value
154,108.02532456302286
155,45.6497532598558
156,93.05232211958702
157,-20.82474589747701
158,18.342299170559812
159,-85.81232373302196
160,-2.1004323370594022
161,26.823250985011875
162,-77.15977419186275
163,-45.278751285685196
164,11.533781506142063
165,63.366587409548174
166,-39.222135036142106
167,111.50154553835776
168,24.291579455524946
169,-130.37973452036084
170,-16.31185205075959
171,73.29623182373498
172,-23.29158021866986
173,-27.657133363874404
174,24.66070742439259
175,16.272277911372896
176,-75.97201891284595
177,9.169735609142178
178,140.14310685589535
179,-56.539109489060024
180,-88.28968164957008
181,180.81363165688137
182,-120.49207576245388
183,-184.72599627661893
184,308.62187765507423
185,-150.84796122560616
186,-139.2890398537623
187,224.57044028838294
188,-18.97635157791092
189,-121.40835832894892
190,160.25051980186575
191,-111.65070317945273
192,-28.139629730452384
193,232.69147372922208
194,-244.36747005590013
195,71.97555362927912
196,119.74811343577156
197,-444.8726064118679
198,10.946416338099738
199,193.12617816053918
200,-202.01123023493005
201,197.65689222822982
202,232.07168003021732
203,-73.8930706264268
204,-97.0958458642398
205,46.70286469805448
206,-163.8986128624495
207,-148.58304308445994
208,238.10867270351537
209,-21.823593549644173
210,20.799965311278065
211,149.11696391127944
212,25.453987597856155
213,-124.80086814466718
214,-5.5096277811727905
215,67.0277889779608
216,-147.65903063569178
217,-46.30131699970672
218,51.41787858444921
219,84.76888396847492
220,-65.27009923054335
221,34.587782914995564
222,114.00775389414743
223,-30.285009211601626
224,18.206183387950567
225,-32.03583423887512
226,-16.649347241383644
227,-156.61304462848835
228,-79.2711046392331
229,66.11085050709261
230,100.4318736619006
231,88.79969410029574
232,7.457098029236036
233,49.32092904574955
234,-118.32492863577315
235,-98.96235202994791
236,3.95481831903528
237,41.79264476232507
238,-16.176723550671433
239,66.47316584049486
240,-4.215519747461361
241,-13.890102741385714
242,-7.729192966642765
243,-127.32518901585368
244,40.7500464025339
245,57.035469530704475
246,-34.904866975210595
247,41.040697245625964
248,51.90988057387797
249,-102.22163173656295
250,-82.39498718117935
251,48.047538162741546
252,19.79116171959339
